,name,Marka,GENEL BİLGİLER - Ürün Amacı,GPU Modeli,CPU Modeli,RAM Boyutu,Dokunmatik Ekran,Ekran Boyutu,Çözünürlük X,Çözünürlük Y,Yenileme Hz,price,G3D_L1,G3D_L2,G3D_L3,G3D_L4,GPU_PassMark_G3D,CPU_PassMark
766,Lenovo ThinkPad P16v 21KX003BTX,Lenovo,İş/Mobil,NVIDIA RTX A1000,Intel Core Ultra 7 155H,32.0,False,16.0,1920,1200,60.0,105478.82,,10786.0,,,10786.0,24826.0
767,MSI Cyborg 15 A13VF-892XTRA7,MSI,Oyun,NVIDIA GeForce RTX 4060 45W,Intel Core i7-13620H,16.0,False,15.6,1920,1080,144.0,54999.0,,,17452.0,,17452.0,24148.0
768,Lenovo Thinkpad E16 G2 21MA003MTX Zi734,Lenovo,İş/Mobil,Intel Graphics,Intel Core Ultra 5 125U,64.0,False,16.0,1920,1200,60.0,46091.49,,2161.5,,,2161.5,17366.0
769,Lenovo Thinkpad E16 G2 21MA003MTX Zi722,Lenovo,İş/Mobil,Intel Graphics,Intel Core Ultra 5 125U,64.0,False,16.0,1920,1200,60.0,46091.49,,2161.5,,,2161.5,17366.0
770,Lenovo ThinkBook 14 G6 IRL 21KG004NTR ZI718,Lenovo,İş/Mobil,Intel Iris Xe Graphics,Intel Core i7-13700H,48.0,False,14.0,1920,1200,60.0,42627.84,,2641.0,,,2641.0,26358.0
771,HP Victus Gaming 16-r0035nt (7P6L3EA),HP,Oyun,NVIDIA GeForce RTX 4060,Intel Core i5-13500H,16.0,False,16.1,1920,1080,144.0,41799.05,,19544.0,,,19544.0,21327.0
772,Asus TUF Gaming A15 (2023) FA507NV-LP103 ZI731,Asus,Oyun,NVIDIA GeForce RTX 4060 140W,AMD Ryzen 5 7535HS,48.0,False,15.6,1920,1080,144.0,56818.72,,,17452.0,,17452.0,17910.0
773,Asus TUF Gaming A15 (2023) FA507NV-LP103 Zi719,Asus,Oyun,NVIDIA GeForce RTX 4060 140W,AMD Ryzen 5 7535HS,48.0,False,15.6,1920,1080,144.0,56818.72,,,17452.0,,17452.0,17910.0
774,Asus TUF Gaming A15 (2023) FA507NV-LP105 Zi719,Asus,Oyun,NVIDIA GeForce RTX 4060 140W,AMD Ryzen 5 7535HS,48.0,False,15.6,1920,1080,144.0,56818.72,,,17452.0,,17452.0,17910.0
775,Lenovo ThinkBook 14 G6 IRL 21KG004NTR ZI730,Lenovo,İş/Mobil,Intel Iris Xe Graphics,Intel Core i7-13700H,48.0,False,14.0,1920,1200,60.0,42627.84,,2641.0,,,2641.0,26358.0
